text,likes,create_time,username,platform,source_id,source_url
"美国大兵这么值钱吗 居然只需要十个师",53,"2026-05-25T12:05:50.000Z","迟早创飞你们所有人",bilibili,303618256912,"https://www.bilibili.com/video/BV19fGb6BEpz"
"那是因为当时美国人的军队编制只有十个师",2,"2026-05-25T17:20:59.000Z","凡尘梦丶",bilibili,300635700449,"https://www.bilibili.com/video/BV19fGb6BEpz"
"以前以为：钱学森能顶美军五个师，真厉害
现在以为：五个师就能顶个钱学森，美军的师真厉害",228,"2026-05-25T08:22:16.000Z","你尔多隆是吗",bilibili,303595844816,"https://www.bilibili.com/video/BV19fGb6BEpz"
"现在的美军注水了",4,"2026-05-25T09:50:08.000Z","某不科学的喝茶人",bilibili,303603533920,"https://www.bilibili.com/video/BV19fGb6BEpz"
"不是说当时美国只有十个师吗，意思是能顶半个美军",16,"2026-05-25T10:45:17.000Z","晨曦7528",bilibili,300595788657,"https://www.bilibili.com/video/BV19fGb6BEpz"
"回复 @晨曦7528 :所以说美军真厉害呀",0,"2026-05-28T05:53:59.000Z","檀栀想",bilibili,303892131104,"https://www.bilibili.com/video/BV19fGb6BEpz"
"现在的美军可没有那个时候的美军厉害",0,"2026-05-29T04:49:47.000Z","遥寄海西头",bilibili,300963129425,"https://www.bilibili.com/video/BV19fGb6BEpz"
"当时的美军师是二战刚结束之后的陆战师，整个美国也就十个陆战师。",1,"2026-05-29T11:27:12.000Z","参商87",bilibili,300997606513,"https://www.bilibili.com/video/BV19fGb6BEpz"
"美国的师相当于中国的集团军，两个战区了还不厉害",0,"2026-05-29T14:33:16.000Z","木叶快乐火影",bilibili,304045550704,"https://www.bilibili.com/video/BV19fGb6BEpz"
"回复 @参商87 :那时候美军十个师个顶个的全是经历过二战战火打磨的精锐，但凡有个小官的基本全是诺曼底登陆老兵",0,"2026-05-29T14:51:04.000Z","牢大冫红茶",bilibili,304047624944,"https://www.bilibili.com/video/BV19fGb6BEpz"
"回复 @晨曦7528 :那派钱学森战两次美国就灭国了？",0,"2026-05-31T06:45:28.000Z","元気Kim",bilibili,301195362273,"https://www.bilibili.com/video/BV19fGb6BEpz"
"ai居然比大导演的爱国电影好看[笑哭]说明什么",91,"2026-05-30T22:06:09.000Z","梵淩",bilibili,304187331136,"https://www.bilibili.com/video/BV19fGb6BEpz"
"人人都是导演",8,"2026-05-31T00:11:28.000Z","唯美丶韩跑跑",bilibili,304191609056,"https://www.bilibili.com/video/BV19fGb6BEpz"
"说明你没看过纪录片，多看点真实的吧",4,"2026-05-31T02:40:39.000Z","FAFA_沧华",bilibili,301170118913,"https://www.bilibili.com/video/BV19fGb6BEpz"
"回复 @FAFA_沧华 :纪录片是纪录片，电影是电影",8,"2026-05-31T04:56:22.000Z","等风的大风车",bilibili,304217017264,"https://www.bilibili.com/video/BV19fGb6BEpz"
"说明了他们都没好好演，都没好好搞。只想着捞钱",7,"2026-05-31T05:18:39.000Z","123456台子",bilibili,301186647537,"https://www.bilibili.com/video/BV19fGb6BEpz"
"以前埋没了很多人才",0,"2026-05-31T13:41:16.000Z","水波浪线",bilibili,304270572576,"https://www.bilibili.com/video/BV19fGb6BEpz"
"回复 @水波浪线 :对，陈凯歌张艺谋生怕别人出头[笑哭]",0,"2026-06-01T14:05:55.000Z","梵淩",bilibili,304378753040,"https://www.bilibili.com/video/BV19fGb6BEpz"
"这是我们中国人的底蕴",0,"2026-06-03T04:45:50.000Z","龙寅三",bilibili,301485496049,"https://www.bilibili.com/video/BV19fGb6BEpz"
"出去把本事学回来 和当年人家来我们这里学火药一样",0,"2026-06-03T04:20:19.000Z","真盘古",bilibili,301482942993,"https://www.bilibili.com/video/BV19fGb6BEpz"
"现在时代美国要是有当年大殖民的拼劲，美国人口早超越中国人口了[doge]",0,"2026-06-03T01:34:13.000Z","125467funny",bilibili,301470260321,"https://www.bilibili.com/video/BV19fGb6BEpz"
